. Sequence file : [Blattabacteria16S.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.20274  -1.03550   0.09306   0.73970  
      	     	          	           	          	           	             	                                      	 0.58001   0.06594  -0.80733   0.16139  
      	     	          	           	          	           	             	                                      	 0.38669   0.62458   0.19234  -1.20361  

  #57	21   	-7429.55931	Yes        	4        	0.219    	0.000    	 0.29026   0.19073   0.28258   0.23643	-0.98294   0.11366   0.59135   0.27794  
      	     	          	           	          	           	             	                                      	 0.17297  -1.09675   0.07879   0.84498  
      	     	          	           	          	           	             	                                      	 0.60742   0.05318  -0.79684   0.13624  
      	     	          	           	          	           	             	                                      	 0.34121   0.68165   0.16283  -1.18570  

  #58	21   	-7337.39008	Yes        	4        	0.219    	0.000    	 0.28752   0.19685   0.27627   0.23935	-0.97223   0.09221   0.59378   0.28624  
      	     	          	           	          	           	             	                                      	 0.13468  -0.95071   0.06160   0.75443  
      	     	          	           	          	           	             	                                      	 0.61797   0.04389  -0.87840   0.21654  
      	     	          	           	          	           	             	                                      	 0.34384   0.62047   0.24994  -1.21425  

  #59	21   	-7576.42060	Yes        	4        	0.222    	0.000    	 0.26864   0.19302   0.29339   0.24494	-1.05462   0.11012   0.57912   0.36537  
      	     	          	           	          	           	             	                                      	 0.15327  -1.03398   0.08059   0.80012  
      	     	          	           	          	           	             	                                      	 0.53027   0.05302  -0.74241   0.15912  
      	     	          	           	          	           	             	                                      	 0.40073   0.63053   0.19060  -1.22186  

  #60	21   	-7387.09853	Yes        	4        	0.231    	0.000    	 0.28312   0.18555   0.29194   0.23939	-1.05484   0.11700   0.58845   0.34940  
      	     	          	           	          	           	             	                                      	 0.17851  -1.06605   0.13974   0.74779  
      	     	          	           	          	           	             	                                      	 0.57065   0.08881  -0.78509   0.12562  
      	     	          	           	          	           	             	                                      	 0.41322   0.57962   0.15320  -1.14604  

  #61	21   	-7534.68825	Yes        	4        	0.235    	0.000    	 0.27290   0.19051   0.28565   0.25094	-1.00552   0.12890   0.56832   0.30830  
      	     	          	           	          	           	             	                                      	 0.18465  -1.08772   0.10308   0.80000  
      	     	          	           	          	           	             	                                      	 0.54296   0.06875  -0.79917   0.18746  
      	     	          	           	          	           	             	                                      	 0.33528   0.60734   0.21339  -1.15601  

  #62	21   	-7489.30473	Yes        	4        	0.234    	0.000    	 0.28878   0.19830   0.28471   0.22821	-1.09807   0.09676   0.66651   0.33480  
      	     	          	           	          	           	             	                                      	 0.14092  -0.91637   0.13072   0.64474  
      	     	          	           	          	           	             	                                      	 0.67603   0.09104  -0.86937   0.10230  
      	     	          	           	          	           	             	                                      	 0.42367   0.56025   0.12762  -1.11154  

  #63	21   	-7337.63532	Yes        	4        	0.198    	0.000    	 0.25809   0.21192   0.28682   0.24316	-1.04302   0.10859   0.60333   0.33109  
      	     	          	           	          	           	             	                                      	 0.13225  -0.99495   0.09532   0.76738  
      	     	          	           	          	           	             	                                      	 0.54291   0.07043  -0.78060   0.16727  
      	     	          	           	          	           	             	                                      	 0.35143   0.66880   0.19730  -1.21753  

  #64	21   	-7452.54885	Yes        	4        	0.237    	0.000    	 0.29290   0.19679   0.27124   0.23906	-0.93915   0.08719   0.56850   0.28346  
      	     	          	           	          	           	             	                                      	 0.12977  -1.00055   0.05343   0.81735  
      	     	          	           	          	           	             	                                      	 0.61391   0.03876  -0.85012   0.19745  
      	     	          	           	          	           	             	                                      	 0.34730   0.67282   0.22403  -1.24415  

  #65	21   	-7379.95220	Yes        	4        	0.273    	0.000    	 0.28824   0.20142   0.27249   0.23786	-1.00657   0.11845   0.59989   0.28824  
      	     	          	           	          	           	             	                                      	 0.16950  -0.98593   0.06598   0.75045  
